name	types	score	votes	watched	plan_to_watch	full_name	year	nations	languages	runtime	fivestars	tags	tags	imdb
泰坦尼克号	剧情/爱情/灾难	9.2	741251	969483	34790	泰坦尼克号 Titanic	1997	美国	英语 / 意大利语 / 德语 / 俄语	194	68.6%,25.6%,5.4%,0.3%,0.1%	爱情,经典,美国,灾难,浪漫,感动,奥斯卡,1997	爱情,经典,美国,灾难,浪漫,感动,奥斯卡,1997	http://www.imdb.com/title/tt0120338
海上钢琴师	剧情/音乐	9.2	650224	839768	114818	海上钢琴师 La leggenda del pianista sull'oceano	1998	意大利	英语 / 法语	165	66.5%,26.9%,5.8%,0.6%,0.2%	经典,海上钢琴师,音乐,人生,意大利,钢琴,剧情,意大利电影	经典,海上钢琴师,音乐,人生,意大利,钢琴,剧情,意大利电影	http://www.imdb.com/title/tt0120731
星际穿越	剧情/科幻/冒险	9.2	550424	617153	76184	星际穿越 Interstellar	2014	美国 / 英国 / 加拿大 / 冰岛	英语	169	66.2%,26.8%,6.1%,0.6%,0.3%	科幻,美国,太空,宇宙,人性,冒险,亲情,2014	科幻,美国,太空,宇宙,人性,冒险,亲情,2014	http://www.imdb.com/title/tt0816692
忠犬八公的故事	剧情	9.2	520218	637014	69613	忠犬八公的故事 Hachi: A Dog's Tale	2009	美国 / 英国	英语 / 日语	93	68.5%,25.5%,5.6%,0.4%,0.1%	感人,温情,动物,真实事件改编,美国,温暖,人性,剧情	感人,温情,动物,真实事件改编,美国,温暖,人性,剧情	http://www.imdb.com/title/tt1028532
放牛班的春天	剧情/音乐	9.2	505373	647282	86443	放牛班的春天 Les choristes	2004	法国 / 瑞士 / 德国	法语	97	65.8%,29.2%,4.7%,0.2%,0.1%	法国,音乐,成长,经典,教育,剧情,温情,励志	法国,音乐,成长,经典,教育,剧情,温情,励志	http://www.imdb.com/title/tt0372824
教父	剧情/犯罪	9.2	379991	496687	<a href="https://movie.douban.com/subject/1291841/discussion/1050606/" title="如果教父三部曲连放,有	教父 The Godfather	1972	美国	英语 / 意大利语 / 拉丁语	175	68.0%,25.4%,5.9%,0.5%,0.2%	黑帮,经典,美国,犯罪,剧情,黑社会,人性,人生	黑帮,经典,美国,犯罪,剧情,黑社会,人性,人生	http://www.imdb.com/title/tt0068646
熔炉	剧情	9.2	303134	348659	97016	熔炉 도가니	2011	韩国	韩语	125	66.7%,28.1%,4.8%,0.3%,0.1%	人性,韩国,犯罪,社会,剧情,熔炉,虐心,感人	人性,韩国,犯罪,社会,剧情,熔炉,虐心,感人	http://www.imdb.com/title/tt2070649
乱世佳人	剧情/爱情/历史/战争	9.2	295904	395054	94791	乱世佳人 Gone with the Wind	1939	美国	英语	238	67.3%,26.9%,5.3%,0.3%,0.1%	经典,爱情,乱世佳人,美国,飘,战争,名著改编,人生	经典,爱情,乱世佳人,美国,飘,战争,名著改编,人生	http://www.imdb.com/title/tt0031381
鬼子来了	剧情/历史/战争	9.2	256116	324686	93788	鬼子来了	2000	中国大陆	汉语普通话 / 日语 / 唐山话	139	66.6%,27.0%,5.8%,0.5%,0.2%	姜文,人性,战争,鬼子来了,中国电影,抗日,中国,大陆	姜文,人性,战争,鬼子来了,中国电影,抗日,中国,大陆	http://www.imdb.com/title/tt0245929
小鞋子	剧情/家庭/儿童	9.2	151054	192482	85167	小鞋子 بچههای آسمان	1997	伊朗	波斯语	89	64.4%,30.4%,4.9%,0.2%,0.1%	伊朗,纯真,伊朗电影,儿童,童年,小鞋子,经典,剧情	伊朗,纯真,伊朗电影,儿童,童年,小鞋子,经典,剧情	http://www.imdb.com/title/tt0118849
摩登时代	剧情/喜剧/爱情	9.2	96145	124434	30882	摩登时代 Modern Times	1936	美国	英语	87	65.3%,29.6%,4.8%,0.2%,0.1%	卓别林,喜剧,经典,默片,美国,黑白,美国电影,CharlesChaplin	卓别林,喜剧,经典,默片,美国,黑白,美国电影,CharlesChaplin	http://www.imdb.com/title/tt0027977
七武士	剧情/动作/冒险	9.2	81147	103871	62398	七武士 七人の侍	1954	日本	日语	160	66.4%,27.0%,5.8%,0.5%,0.2%	黑泽明,日本,经典,日本电影,七武士,武士,战争,剧情	黑泽明,日本,经典,日本电影,七武士,武士,战争,剧情	http://www.imdb.com/title/tt0047478
