name	types	score	votes	watched	plan_to_watch	full_name	year	nations	languages	runtime	fivestars	tags	tags	imdb
死亡医生	剧情/传记	8.5	18170	22453	30350	死亡医生 You Don't Know Jack	2010	美国	英语	134	41.4%,45.4%,12.4%,0.7%,0.2%	美国,传记,阿尔·帕西诺,AlPacino,剧情,美国电影,2010,HBO	美国,传记,阿尔·帕西诺,AlPacino,剧情,美国电影,2010,HBO	http://www.imdb.com/title/tt1132623
迷恋荷尔蒙	剧情/爱情/同性/犯罪	8.5	17908	21124	18932	迷恋荷尔蒙 Soldier's Girl	2003	美国 / 加拿大	英语	112	39.5%,46.2%,13.2%,1.0%,0.2%	美国,爱情,同志,同性,LeePace,美国电影,变性,gay	美国,爱情,同志,同性,LeePace,美国电影,变性,gay	http://www.imdb.com/title/tt0324013
虎兄虎弟	剧情/冒险	8.5	17046	21522	7499	虎兄虎弟 Deux frères	2004	法国 / 英国	英语 / 法语 / 泰语	109	40.0%,45.1%,14.0%,0.8%,0.1%	动物,法国,自然,亲情,老虎,剧情,2004,电影	动物,法国,自然,亲情,老虎,剧情,2004,电影	http://www.imdb.com/title/tt0338512
邦尼和琼	剧情/喜剧/爱情	8.5	15661	19732	18292	邦尼和琼 Benny & Joon	1993	美国	英语	98	41.0%,43.8%,14.1%,1.0%,0.1%	JohnnyDepp,美国,爱情,喜剧,美国电影,约翰尼·德普,1993,约翰尼德普	JohnnyDepp,美国,爱情,喜剧,美国电影,约翰尼·德普,1993,约翰尼德普	http://www.imdb.com/title/tt0106387
伊豆的舞女	剧情	8.5	14470	19424	10669	伊豆的舞女 伊豆の踊子	1974	日本	日语	82	38.1%,48.7%,12.4%,0.7%,0.1%	山口百惠,日本,日本电影,三浦友和,爱情,经典,伊豆的舞女,青春	山口百惠,日本,日本电影,三浦友和,爱情,经典,伊豆的舞女,青春	http://www.imdb.com/title/tt0391249
天狗	剧情	8.5	14084	17619	10083	天狗	2006	中国大陆	汉语普通话 / 晋语	101	39.6%,47.0%,12.3%,0.9%,0.2%	人性,大陆,中国电影,中国,富大龙,剧情,天狗,正义	人性,大陆,中国电影,中国,富大龙,剧情,天狗,正义	http://www.imdb.com/title/tt0830838
花落花开	剧情/传记/战争	8.5	13502	17914	29091	花落花开 Séraphine	2008	法国 / 比利时	法语 / 德语	126	38.9%,49.1%,11.2%,0.6%,0.1%	法国,传记,法国电影,女性,文艺,Séraphine,2008,电影	法国,传记,法国电影,女性,文艺,Séraphine,2008,电影	http://www.imdb.com/title/tt1048171
过年	剧情/家庭	8.5	13375	17254	10154	过年	1991	中国大陆	汉语普通话	101	40.3%,47.0%,12.1%,0.5%,0.1%	中国电影,大陆,中国,剧情,葛优,黄健中,1991,过年	中国电影,大陆,中国,剧情,葛优,黄健中,1991,过年	http://www.imdb.com/title/tt0206313
余生的第一天	剧情/家庭	8.5	13199	16149	23907	余生的第一天 Le premier jour du reste de ta vie	2008	法国	法语	114	39.8%,45.7%,13.4%,1.0%,0.2%	法国,家庭,亲情,法国电影,剧情,余生的第一天,2008,电影	法国,家庭,亲情,法国电影,剧情,余生的第一天,2008,电影	http://www.imdb.com/title/tt0926759
二手狮王	剧情/喜剧/家庭	8.5	12526	15150	8756	二手狮王 Secondhand Lions	2003	美国	英语	111	40.3%,44.7%,13.8%,0.9%,0.3%	美国,成长,亲情,喜剧,美国电影,剧情,经典,2003	美国,成长,亲情,喜剧,美国电影,剧情,经典,2003	http://www.imdb.com/title/tt0327137
马路天使	剧情/喜剧	8.5	11965	16312	8349	马路天使	1937	中国	汉语普通话	91	39.7%,47.3%,12.1%,0.7%,0.1%	周璇,袁牧之,中国电影,赵丹,中国,经典,黑白,老片	周璇,袁牧之,中国电影,赵丹,中国,经典,黑白,老片	http://www.imdb.com/title/tt0183828
战舰波将金号	剧情/历史/战争	8.5	11763	15451	10762	战舰波将金号 Броненосец Потёмкин	1925	前苏联	无对白	75	43.4%,42.2%,13.3%,0.8%,0.3%	爱森斯坦,苏联,蒙太奇,默片,经典,苏联电影,黑白,1925	爱森斯坦,苏联,蒙太奇,默片,经典,苏联电影,黑白,1925	http://www.imdb.com/title/tt0015648
梵高：画语人生	剧情	8.5	11641	14445	22759	梵高：画语人生 Vincent Van Gogh: Painted with Words	2010	英国	英语	80	40.2%,45.9%,12.9%,0.9%,0.1%	梵高,传记,BBC,BenedictCumberbatch,纪录片,英国,英国电影,2010	梵高,传记,BBC,BenedictCumberbatch,纪录片,英国,英国电影,2010	http://www.imdb.com/title/tt1632679
自由作家	剧情/传记/犯罪	8.5	11598	14200	11213	自由作家 Freedom Writers	2007	美国 / 德国	英语	123	39.7%,46.5%,12.7%,0.8%,0.2%	励志,美国,种族,教育,美国电影,剧情,HilarySwank,2007	励志,美国,种族,教育,美国电影,剧情,HilarySwank,2007	http://www.imdb.com/title/tt0463998
狗脸的岁月	剧情/喜剧	8.5	11465	15026	27453	狗脸的岁月 Mitt liv som hund	1985	瑞典	瑞典语	101	40.0%,46.5%,12.6%,0.7%,0.2%	瑞典,成长,童年,瑞典电影,儿童,狗脸的岁月,欧洲电影,LasseHallström	瑞典,成长,童年,瑞典电影,儿童,狗脸的岁月,欧洲电影,LasseHallström	http://www.imdb.com/title/tt0089606
烈焰焚币	剧情/爱情/惊悚/同性/犯罪	8.5	10714	12627	10540	烈焰焚币 Plata quemada	2000	阿根廷 / 西班牙 / 乌拉圭	西班牙语	125	44.1%,37.6%,16.3%,1.7%,0.3%	阿根廷,同志,犯罪,同性,爱情,西班牙,烈焰焚币,Gay	阿根廷,同志,犯罪,同性,爱情,西班牙,烈焰焚币,Gay	http://www.imdb.com/title/tt0227277
少爷	剧情/喜剧	8.5	10625	11879	10165	少爷 坊っちゃん	2016	日本	日语	120	40.2%,44.3%,14.1%,1.1%,0.3%	日本,2016,剧情,喜剧,成长,温情,小说改编,人性	日本,2016,剧情,喜剧,成长,温情,小说改编,人性	http://www.imdb.com/title/tt5175794
日瓦戈医生	剧情/爱情/战争	8.5	10599	14156	14948	日瓦戈医生 Doctor Zhivago	1965	美国 / 意大利 / 英国	英语 / 俄语 / 法语	197	42.2%,42.6%,13.7%,1.2%,0.3%	俄罗斯,经典,爱情,美国,战争,历史,1965,名著改编	俄罗斯,经典,爱情,美国,战争,历史,1965,名著改编	http://www.imdb.com/title/tt0059113
雨月物语	剧情/战争/奇幻	8.5	9520	12092	9913	雨月物语 雨月物語	1953	日本	日语	96	39.6%,48.6%,11.1%,0.6%,0.2%	沟口健二,日本,日本电影,1953,经典,田中绢代,1950s,雨月物语	沟口健二,日本,日本电影,1953,经典,田中绢代,1950s,雨月物语	http://www.imdb.com/title/tt0046478
细路祥	剧情	8.5	9334	11569	12521	细路祥 細路祥	1999	香港	粤语	101	38.2%,49.1%,11.9%,0.6%,0.1%	陈果,香港,香港电影,文艺,剧情,细路祥,陳果,生活	陈果,香港,香港电影,文艺,剧情,细路祥,陳果,生活	http://www.imdb.com/title/tt0234116
蜘蛛巢城	剧情/动作/惊悚/战争/奇幻	8.5	9264	11924	7764	蜘蛛巢城 蜘蛛巣城	1957	日本	日语	110	37.5%,48.9%,12.6%,0.9%,0.2%	黑泽明,日本,日本电影,三船敏郎,战争,1957,黑白,蜘蛛巢城	黑泽明,日本,日本电影,三船敏郎,战争,1957,黑白,蜘蛛巢城	http://www.imdb.com/title/tt0050613
莫斯科不相信眼泪	剧情/喜剧/爱情	8.5	8928	11686	12555	莫斯科不相信眼泪 Москва слезам не верит	1980	苏联	俄语	148	39.9%,46.0%,13.0%,0.9%,0.3%	苏联,爱情,经典,俄罗斯,剧情,奥斯卡最佳外语片,1980,女性	苏联,爱情,经典,俄罗斯,剧情,奥斯卡最佳外语片,1980,女性	http://www.imdb.com/title/tt0079579
闪亮的风采	剧情/音乐/传记	8.5	8617	11216	14418	闪亮的风采 Shine	1996	澳大利亚	英语 / 依地语	105	39.4%,45.6%,13.8%,1.0%,0.2%	传记,澳大利亚,音乐,钢琴,澳大利亚电影,钢琴师,剧情,音乐电影	传记,澳大利亚,音乐,钢琴,澳大利亚电影,钢琴师,剧情,音乐电影	http://www.imdb.com/title/tt0117631
音乐永不停歇	剧情	8.5	8588	10226	13634	音乐永不停歇 The Music Never Stopped	2011	美国	英语	105	40.8%,44.9%,13.1%,0.9%,0.3%	音乐,美国,亲情,美国电影,父与子,剧情,2011,真实故事	音乐,美国,亲情,美国电影,父与子,剧情,2011,真实故事	http://www.imdb.com/title/tt1613062
流星语	剧情/喜剧	8.5	7744	10044	4484	流星语 流星語	1999	香港	粤语	110	43.2%,39.9%,15.7%,1.0%,0.1%	张国荣,香港,香港电影,亲情,张之亮,哥哥,剧情,leslie	张国荣,香港,香港电影,亲情,张之亮,哥哥,剧情,leslie	http://www.imdb.com/title/tt0223603
解构爱情狂	剧情/喜剧/爱情/奇幻	8.5	7537	9359	16609	解构爱情狂 Deconstructing Harry	1997	美国	英语	96	41.2%,44.6%,13.3%,0.7%,0.2%	伍迪·艾伦,WoodyAllen,美国,喜剧,伍迪艾伦,爱情,1997,美国电影	伍迪·艾伦,WoodyAllen,美国,喜剧,伍迪艾伦,爱情,1997,美国电影	http://www.imdb.com/title/tt0118954
死囚越狱	剧情/惊悚/战争	8.5	7408	9096	10901	死囚越狱 Un Condamné à mort s'est échappé	1956	法国	法语 / 德语	99	44.5%,40.7%,13.1%,1.2%,0.5%	法国,越狱,黑白,1956,经典,剧情,惊悚,监狱	法国,越狱,黑白,1956,经典,剧情,惊悚,监狱	http://www.imdb.com/title/tt0049902
四分钟	剧情/音乐	8.5	7388	9821	14714	四分钟 Vier Minuten	2006	德国	德语	112	42.1%,43.9%,12.5%,1.2%,0.3%	德国,音乐,钢琴,德国电影,人性,文艺,2006,4分钟	德国,音乐,钢琴,德国电影,人性,文艺,2006,4分钟	http://www.imdb.com/title/tt0461694
心灵点滴	剧情/喜剧/传记	8.5	7115	8834	8859	心灵点滴 Patch Adams	1998	美国	英语	115	41.0%,43.2%,14.2%,1.3%,0.3%	励志,美国,罗宾·威廉斯,剧情,RobinWilliams,美国电影,心灵点滴,1998	励志,美国,罗宾·威廉斯,剧情,RobinWilliams,美国电影,心灵点滴,1998	http://www.imdb.com/title/tt0129290
炙热	types	score	votes	watched	plan_to_watch	full_name	year	nations	languages	runtime	fivestars	tags	tags	imdb
恶魔	剧情/悬疑/惊悚/犯罪	8.5	6693	7028	10513	恶魔 Les diaboliques	1955	法国	法语	114	39.5%,47.0%,12.2%,0.9%,0.4%	法国,悬疑,犯罪,惊悚,亨利-乔治·克鲁佐,法国电影,1955,1950s	法国,悬疑,犯罪,惊悚,亨利-乔治·克鲁佐,法国电影,1955,1950s	http://www.imdb.com/title/tt0046911
杀人短片	剧情/犯罪	8.5	6468	8636	13545	杀人短片 Krótki film o zabijaniu	1988	波兰	波兰语	84	43.4%,40.5%,13.8%,1.7%,0.5%	波兰,犯罪,1988,剧情,人性,经典,心理,文艺	波兰,犯罪,1988,剧情,人性,经典,心理,文艺	http://www.imdb.com/title/tt0095468
隐藏的恋情	剧情/爱情/同性/战争	8.5	6305	7640	14093	隐藏的恋情 Un amour à taire	2005	法国	法语	102	42.7%,43.0%,13.2%,1.1%,0.2%	法国,同志,战争,法国电影,爱情,纳粹,同性,GAY	法国,同志,战争,法国电影,爱情,纳粹,同性,GAY	http://www.imdb.com/title/tt0444518
远山的呼唤	剧情	8.5	6032	7695	3929	远山的呼唤 遥かなる山の呼び声	1980	日本	日语	124	38.6%,48.5%,12.4%,0.2%,0.2%	高仓健,日本,山田洋次,日本电影,爱情,倍赏千惠子,经典,经典怀旧	高仓健,日本,山田洋次,日本电影,爱情,倍赏千惠子,经典,经典怀旧	http://www.imdb.com/title/tt0080843
法外之徒	剧情/犯罪	8.5	5957	7610	11682	法外之徒 Bande à part	1964	法国	法语 / 英语	95	41.3%,45.3%,11.7%,1.3%,0.3%	法国,戈达尔,新浪潮,让-吕克·戈达尔,法国电影,1960s,JeanLucGodard,1964	法国,戈达尔,新浪潮,让-吕克·戈达尔,法国电影,1960s,JeanLucGodard,1964	http://www.imdb.com/title/tt0057869
飓风	剧情/传记/运动	8.5	5926	7143	5209	飓风 The Hurricane	1999	美国	英语	146	39.8%,46.9%,12.5%,0.6%,0.1%	美国,种族,传记,剧情,励志,监狱,人性,1999	美国,种族,传记,剧情,励志,监狱,人性,1999	http://www.imdb.com/title/tt0174856
大菩萨岭	剧情/动作	8.5	5427	6574	5801	大菩萨岭 大菩薩峠	1966	日本	日语	120	41.8%,45.0%,11.8%,1.2%,0.3%	日本,冈本喜八,仲代达矢,武士,日本电影,三船敏郎,1966,桥本忍	日本,冈本喜八,仲代达矢,武士,日本电影,三船敏郎,1966,桥本忍	http://www.imdb.com/title/tt0060277
机遇之歌	剧情	8.5	5154	7103	14337	机遇之歌 Przypadek	1987	波兰	波兰语	114	42.6%,43.6%,12.5%,1.0%,0.4%	波兰,1987,剧情,人生,政治,科幻,文艺,CC	波兰,1987,剧情,人生,政治,科幻,文艺,CC	http://www.imdb.com/title/tt0084549
永恒记忆	剧情/传记	8.5	4968	6296	11696	永恒记忆 Maria Larssons eviga ögonblick	2008	瑞典 / 芬兰 / 挪威 / 丹麦 / 德国	瑞典语 / 芬兰语	131	42.3%,43.6%,12.9%,1.0%,0.2%	瑞典,传记,瑞典电影,摄影,北欧,永恒记忆,2008,JanTroell	瑞典,传记,瑞典电影,摄影,北欧,永恒记忆,2008,JanTroell	http://www.imdb.com/title/tt0961066
压路机和小提琴	剧情	8.5	4817	6475	5209	压路机和小提琴 Каток и скрипка	1961	苏联	俄语	46	36.8%,50.4%,12.1%,0.6%,0.1%	苏联,短片,1961,塔柯夫斯基,儿童,剧情,童年,经典	苏联,短片,1961,塔柯夫斯基,儿童,剧情,童年,经典	http://www.imdb.com/title/tt0053987
雁南飞	剧情/爱情/战争	8.5	4690	6222	6587	雁南飞 Летят журавли	1957	前苏联	俄语	95	38.6%,47.9%,12.6%,0.7%,0.2%	苏联,苏联电影,爱情,战争,卡拉托佐夫,1957,二战,俄罗斯	苏联,苏联电影,爱情,战争,卡拉托佐夫,1957,二战,俄罗斯	http://www.imdb.com/title/tt0050634
蓝	剧情/同性/传记	8.5	4660	7672	23401	蓝 Blue	1993	英国 / 日本	英语	79	45.6%,37.5%,13.3%,1.9%,1.6%	英国,DerekJarman,同志,文艺,英国电影,blue,电影,贾曼	英国,DerekJarman,同志,文艺,英国电影,blue,电影,贾曼	http://www.imdb.com/title/tt0106438
生命因你动听	剧情/音乐	8.5	4466	5789	7346	生命因你动听 Mr. Holland's Opus	1995	美国	英语 / 美国手语	143	41.6%,44.9%,12.3%,0.9%,0.3%	音乐,美国,教育,温情,美国电影,心灵,爱,1995	音乐,美国,教育,温情,美国电影,心灵,爱,1995	http://www.imdb.com/title/tt0113862
银河铁道之夜	剧情/动画	8.5	4463	5515	5014	银河铁道之夜 銀河鉄道の夜 the Celestial Railroad	2006	日本	日语	55	46.8%,33.3%,17.1%,2.2%,0.6%	动画,日本,銀河鉄道の夜,宫泽贤治,日本动画,加贺谷穰,kagaya,动漫	动画,日本,銀河鉄道の夜,宫泽贤治,日本动画,加贺谷穰,kagaya,动漫	http://www.imdb.com/title/tt2836140
新灵犬莱西	剧情/儿童/冒险	8.5	4294	5517	3811	新灵犬莱西 Lassie	2005	英国 / 法国 / 爱尔兰 / 美国	英语	100	39.7%,44.3%,15.1%,0.8%,0.1%	狗狗,动物,温情,美国,灵犬莱西,感动,美国电影,狗	狗狗,动物,温情,美国,灵犬莱西,感动,美国电影,狗	http://www.imdb.com/title/tt0431213
海蒂	剧情/家庭	8.5	4057	5716	1450	海蒂 Heidi	1937	美国	英语	88	37.9%,47.9%,13.6%,0.6%,0.1%	秀兰·邓波儿,美国,经典,美国电影,儿童,童年,童年回忆,ShirleyTemple	秀兰·邓波儿,美国,经典,美国电影,儿童,童年,童年回忆,ShirleyTemple	http://www.imdb.com/title/tt0028988
油炸绿番茄	剧情/喜剧	8.5	3928	4957	8903	油炸绿番茄 Fried Green Tomatoes	1991	美国	英语	130	41.8%,44.4%,12.8%,0.8%,0.2%	女性,美国,美国电影,温情,剧情,油炸绿蕃茄,1991,电影	女性,美国,美国电影,温情,剧情,油炸绿蕃茄,1991,电影	http://www.imdb.com/title/tt0101921
热带鱼	剧情/喜剧	8.5	3907	4793	5406	热带鱼 熱帶魚	1995	台湾	汉语普通话 / 闽南语	109	38.7%,48.5%,11.7%,1.0%,0.1%	台湾,台湾电影,陈玉勋,喜剧,1995,梦想,热带鱼,生活	台湾,台湾电影,陈玉勋,喜剧,1995,梦想,热带鱼,生活	http://www.imdb.com/title/tt0117970
秋日和	剧情/家庭	8.5	3832	5058	4953	秋日和	1960	日本	日语	128	36.6%,52.4%,10.1%,0.4%,0.5%	小津安二郎,日本,日本电影,原节子,1960,1960s,剧情,司叶子	小津安二郎,日本,日本电影,原节子,1960,1960s,剧情,司叶子	http://www.imdb.com/title/tt0053579
盗信情缘	剧情/喜剧/动作/犯罪	8.5	3720	4699	5548	盗信情缘 ポストマン・ブルース	1997	日本	日语	110	41.5%,42.9%,13.3%,1.9%,0.5%	日本,黑色幽默,日本电影,萨布,堤真一,Sabu,1997,爱情	日本,黑色幽默,日本电影,萨布,堤真一,Sabu,1997,爱情	http://www.imdb.com/title/tt0119926
小孩与鹰	剧情	8.5	3675	4566	13733	小孩与鹰 Kes	1969	英国	英语	110	38.2%,50.3%,10.6%,0.6%,0.3%	英国,成长,儿童,英国电影,KenLoach,剧情,肯·罗奇,1969	英国,成长,儿童,英国电影,KenLoach,剧情,肯·罗奇,1969	http://www.imdb.com/title/tt0064541
圣诞快乐	剧情/音乐/历史/战争	8.5	3599	4343	8097	圣诞快乐 Joyeux Noël	2005	法国 / 德国 / 英国 / 比利时 / 罗马尼亚 / 挪威 / 日本 / 美国	法语 / 德语 / 英语 / 拉丁语	116	39.8%,44.9%,14.0%,1.0%,0.3%	战争,法国,人性,德国,2005,剧情,战争中的友谊,一战	战争,法国,人性,德国,2005,剧情,战争中的友谊,一战	http://www.imdb.com/title/tt0424205
水	剧情/爱情	8.5	3555	4313	4596	水 Water	2005	加拿大 / 印度	北印度语	117	37.7%,49.0%,12.4%,0.8%,0.2%	印度,女性,印度电影,宗教,爱情,社会,加拿大,2005	印度,女性,印度电影,宗教,爱情,社会,加拿大,2005	http://www.imdb.com/title/tt0240200
阿尔及尔之战	剧情/历史/战争	8.5	3507	4302	5121	阿尔及尔之战 La battaglia di Algeri	1966	意大利 / 阿尔及利亚	法语 / 英语 / 意大利语 / 阿拉伯语	121	38.9%,47.6%,11.9%,1.2%,0.4%	战争,阿尔及利亚,意大利,法国,政治,1966,1960s,历史	战争,阿尔及利亚,意大利,法国,政治,1966,1960s,历史	http://www.imdb.com/title/tt0058946
法兰基，我的爱	剧情/爱情	8.5	3480	4285	7911	法兰基，我的爱 Dear Frankie	2004	英国	英语 / British Sign Language	105	37.9%,50.0%,11.2%,0.6%,0.3%	英国,亲情,英国电影,儿童,童年,GerardButler,情感,2004	英国,亲情,英国电影,儿童,童年,GerardButler,情感,2004	http://www.imdb.com/title/tt0377752
娘家母亲	剧情	8.5	3454	4218	3556	娘家母亲 친정엄마	2010	韩国	韩语	107	42.9%,40.2%,15.5%,1.0%,0.4%	韩国电影,亲情,韩国,母爱,感人,感动,2010,娘家母亲	韩国电影,亲情,韩国,母爱,感人,感动,2010,娘家母亲	http://www.imdb.com/title/tt1655618
禁忌的游戏	剧情/战争	8.5	3394	4497	7400	禁忌的游戏 Jeux interdits	1952	法国	法语	86	41.7%,43.6%,13.3%,1.3%,0.2%	法国,战争,法国电影,儿童,1952,童年,禁忌的游戏,René_Clément	法国,战争,法国电影,儿童,1952,童年,禁忌的游戏,René_Clément	http://www.imdb.com/title/tt0043686
天国与地狱	剧情/惊悚/犯罪	8.5	3274	4036	4344	天国与地狱 天国と地獄	1963	日本	日语	143	38.7%,48.1%,12.0%,0.9%,0.2%	黑泽明,日本,三船敏郎,日本电影,仲代达矢,犯罪,1963,1960s	黑泽明,日本,三船敏郎,日本电影,仲代达矢,犯罪,1963,1960s	http://www.imdb.com/title/tt0057565
小英雄托托	剧情	8.5	3265	4354	8275	小英雄托托 Toto le héros	1991	比利时 / 法国 / 德国	法语	91	38.9%,46.8%,13.0%,1.0%,0.4%	法国,比利时,儿童,法国电影,剧情,JacoVanDormael,1991,1990s	法国,比利时,儿童,法国电影,剧情,JacoVanDormael,1991,1990s	http://www.imdb.com/title/tt0103105
谁来为我摘月亮	剧情/喜剧	8.5	3226	3429	6792	谁来为我摘月亮 Luna Papa	1999	德国 / 日本 / 塔吉克斯坦 / 乌兹别克斯坦 / 奥地利 / 瑞士 / 法国 / 俄罗斯	俄语 / 塔吉克语	107	41.5%,43.8%,12.4%,1.7%,0.6%	荒诞,塔吉克斯坦,喜剧,德国,法国,俄罗斯,奥地利,1999	荒诞,塔吉克斯坦,喜剧,德国,法国,俄罗斯,奥地利,1999	http://www.imdb.com/title/tt0170259
红胡子	剧情	8.5	3190	4202	4074	红胡子 赤ひげ	1965	日本	日语	185	41.8%,42.8%,13.8%,1.0%,0.6%	黑泽明,日本,三船敏郎,日本电影,黑澤明,黑白,1960s,红胡子	黑泽明,日本,三船敏郎,日本电影,黑澤明,黑白,1960s,红胡子	http://www.imdb.com/title/tt0058888
穆谢特	剧情	8.5	3174	4404	6672	穆谢特 Mouchette	1967	法国	法语	78	40.3%,45.1%,13.0%,1.3%,0.3%	法国,布列松,法国电影,罗伯特·布列松,Robert_Bresson,RobertBresson,1960s,1967	法国,布列松,法国电影,罗伯特·布列松,Robert_Bresson,RobertBresson,1960s,1967	http://www.imdb.com/title/tt0061996
特写	剧情/犯罪	8.5	3173	4184	7835	特写 نمای نزدیک	1990	伊朗	波斯语 / 阿塞拜疆语	98	41.3%,42.7%,13.9%,1.6%,0.4%	伊朗,纪录片,1990,1990s,剧情,电影,犯罪,CC	伊朗,纪录片,1990,1990s,剧情,电影,犯罪,CC	http://www.imdb.com/title/tt0100234
平凡岁月的魅力	types	score	votes	watched	plan_to_watch	full_name	year	nations	languages	runtime	fivestars	tags	tags	imdb
饲养乌鸦	剧情	8.5	2797	3567	6023	饲养乌鸦 Cría cuervos	1976	西班牙	西班牙语	110	38.9%,47.8%,12.2%,0.9%,0.2%	西班牙,西班牙电影,卡洛斯绍拉,卡洛斯·绍拉,1976,剧情,CarlosSaura,1970s	西班牙,西班牙电影,卡洛斯绍拉,卡洛斯·绍拉,1976,剧情,CarlosSaura,1970s	http://www.imdb.com/title/tt0074360
同流者	剧情	8.5	2787	3563	9478	同流者 Il conformista	1970	意大利 / 法国 / 西德	意大利语 / 法语 / 拉丁语	107	41.1%,45.2%,12.6%,0.8%,0.3%	意大利,政治,1970,剧情,法国,经典,欧洲,德国	意大利,政治,1970,剧情,法国,经典,欧洲,德国	http://www.imdb.com/title/tt0065571
风烛泪	剧情	8.5	2764	3560	4926	风烛泪 Umberto D.	1952	意大利	意大利语	89	39.6%,48.9%,10.5%,0.8%,0.2%	意大利,德·西卡,新现实主义,意大利电影,1952,VittorioDeSica,1950s,Vittorio_De_Sica	意大利,德·西卡,新现实主义,意大利电影,1952,VittorioDeSica,1950s,Vittorio_De_Sica	http://www.imdb.com/title/tt0045274
屋顶上的小提琴手	剧情/歌舞	8.5	2689	3654	10520	屋顶上的小提琴手 Fiddler on the Roof	1971	美国	英语 / 希伯来语 / 俄语	181	41.6%,42.2%,14.3%,1.7%,0.3%	音乐剧,美国,音乐,屋顶上的小提琴手,美国电影,歌舞,音乐剧:歌舞片,电影	音乐剧,美国,音乐,屋顶上的小提琴手,美国电影,歌舞,音乐剧:歌舞片,电影	http://www.imdb.com/title/tt0067093
龙种	剧情/历史/战争	8.5	2688	3312	7192	龙种 Dragon Seed	1944	美国	英语	148	42.0%,44.1%,12.5%,1.0%,0.5%	美国,战争,凯瑟琳·赫本,赛珍珠,中国主题,美国电影,1944,老片	美国,战争,凯瑟琳·赫本,赛珍珠,中国主题,美国电影,1944,老片	http://www.imdb.com/title/tt0036777
鸳梦重温	剧情/爱情	8.5	2680	3437	2868	鸳梦重温 Random Harvest	1942	美国	英语	126	41.7%,44.7%,12.8%,0.7%,0.2%	爱情,美国,经典,美国电影,老电影,经典黑白,鸳梦重温,1940s	爱情,美国,经典,美国电影,老电影,经典黑白,鸳梦重温,1940s	http://www.imdb.com/title/tt0035238
你逃我也逃	剧情/喜剧/战争	8.5	2676	3195	2020	你逃我也逃 To Be or Not to Be	1983	美国	英语	107	39.6%,48.0%,11.3%,0.8%,0.3%	喜剧,美国,二战,战争,美国电影,经典,1983,MelBrooks	喜剧,美国,二战,战争,美国电影,经典,1983,MelBrooks	http://www.imdb.com/title/tt0086450
战地军魂	剧情/喜剧/战争	8.5	2597	3102	2708	战地军魂 Stalag 17	1953	美国	英语 / 德语	120	36.7%,50.1%,12.4%,0.8%,0.1%	美国,比利·怀尔德,战争,喜剧,二战,1953,美国电影,Billy_Wilder	美国,比利·怀尔德,战争,喜剧,二战,1953,美国电影,Billy_Wilder	http://www.imdb.com/title/tt0046359
君臣人子小命呜呼	剧情/喜剧	8.5	2585	3489	10496	君臣人子小命呜呼 Rosencrantz and Guildenstern Are Dead	1990	英国 / 美国	英语	117	46.1%,35.7%,15.1%,2.2%,0.9%	英国,GaryOldman,喜剧,TimRoth,英国电影,1990,电影,荒诞	英国,GaryOldman,喜剧,TimRoth,英国电影,1990,电影,荒诞	http://www.imdb.com/title/tt0100519
浪荡儿	剧情/喜剧	8.5	2480	3384	4405	浪荡儿 I vitelloni	1953	意大利 / 法国	意大利语	101	38.4%,48.8%,11.9%,0.7%,0.2%	费里尼,意大利,1950s,1953,黑白,青春,CC,剧情	费里尼,意大利,1950s,1953,黑白,青春,CC,剧情	http://www.imdb.com/title/tt0046521
蒙古精神	剧情	8.5	2440	3187	3845	蒙古精神 Урга	1991	法国 / 苏联	蒙古语 / 俄语 / 汉语普通话	119	40.2%,44.7%,13.5%,1.5%,0.1%	俄罗斯,尼基塔·米哈尔科夫,蒙古,蒙古精神,俄罗斯电影,1991,苏联电影,NikitaMikhalkov	俄罗斯,尼基塔·米哈尔科夫,蒙古,蒙古精神,俄罗斯电影,1991,苏联电影,NikitaMikhalkov	http://www.imdb.com/title/tt0103176
阳光情人	剧情/爱情/历史/战争	8.5	2412	3037	10649	阳光情人 Sunshine	1999	德国 / 奥地利 / 加拿大 / 匈牙利	英语 / 法语	181	40.5%,46.0%,11.9%,1.4%,0.2%	RalphFiennes,匈牙利,历史,德国,剧情,欧洲电影,匈牙利电影,RachelWeisz	RalphFiennes,匈牙利,历史,德国,剧情,欧洲电影,匈牙利电影,RachelWeisz	http://www.imdb.com/title/tt0145503
生命如此美好	剧情	8.5	2413	2805	6753	生命如此美好 Chce Się Żyć	2013	波兰	波兰语	112	38.1%,48.7%,11.7%,1.3%,0.2%	波兰,励志,人生,剧情,传记,感人,成长,2013	波兰,励志,人生,剧情,传记,感人,成长,2013	http://www.imdb.com/title/tt3092552
父亲的荣耀	剧情/传记/冒险	8.5	2396	2991	3387	父亲的荣耀 La Gloire de Mon Père	1990	法国	法语	105	39.5%,47.3%,12.2%,0.9%,0.1%	法国,法国电影,童年,童年回忆,温馨,1990,纯真,剧情	法国,法国电影,童年,童年回忆,温馨,1990,纯真,剧情	http://www.imdb.com/title/tt0099669
